date	timestamp	open	high	low	close	volume	upTick	downTick	darkUpTick	darkDownTick	flowindexavg
2022-01-10T08:31:00.000Z	1641807120000	163.83	164.12	163.5	163.68	45815	20795	25020	5382	9567	0
2022-01-10T08:32:00.000Z	1641807180000	163.68	163.59	163.33	163.37	16721	5760	10961	1746	4137	0
2022-01-10T08:33:00.000Z	1641807240000	163.37	163.48	163.25	163.33	21844	8670	13174	4776	4244	-1965.6666666666665
2022-01-10T08:34:00.000Z	1641807300000	163.33	163.58	163.16	163.29	44752	22074	22678	4718	6352	-4059.4242424242425
2022-01-10T08:35:00.000Z	1641807360000	163.29	163.44	163.04	163.12	48023	19653	28370	6027	7145	-6738.044077134986
2022-01-10T08:36:00.000Z	1641807420000	163.12	163.16	162.85	162.87	43174	19921	23253	5179	6282	-9779.157275231655
2022-01-10T08:37:00.000Z	1641807480000	162.87	163.31	162.84	163.05	73203	36269	36934	7786	10534	-12793.886255492567
2022-01-10T08:38:00.000Z	1641807540000	163.05	163.31	162.96	163.15	52510	23187	29323	4507	4442	-15959.573602978768
2022-01-10T08:39:00.000Z	1641807600000	163.15	163.26	163.02	163.26	35854	18600	17254	6498	3559	-18819.34809940687
2022-01-10T08:40:00.000Z	1641807660000	163.26	163.46	163	163.11	61087	29289	31798	10343	10233	-21491.618141938954
2022-01-10T08:41:00.000Z	1641807720000	163.11	163.32	163.06	163.08	32069	12890	19179	5401	5191	-24361.02090401066
2022-01-10T08:42:00.000Z	1641807780000	163.08	163.22	163.01	163.15	46074	20687	25387	5268	6238	-27593.168618432966
2022-01-10T08:43:00.000Z	1641807840000	163.15	163.29	162.98	163.01	51566	23773	27793	6439	8363	-31078.531899930003
2022-01-10T08:44:00.000Z	1641807900000	163.01	163.34	162.97	163.23	27370	12098	15272	4346	3223	-34604.798827215454
2022-01-10T08:45:00.000Z	1641807960000	163.23	163.26	162.91	163.01	56523	22650	33873	10051	11036	-38824.38085863083
2022-01-10T08:46:00.000Z	1641808020000	163.01	163.22	162.96	163.01	32687	17654	15033	6384	6974	-42814.8570661525
2022-01-10T08:47:00.000Z	1641808080000	163.01	163.18	162.93	162.96	26026	13066	12960	5822	6977	-46251.398205639925
2022-01-10T08:48:00.000Z	1641808140000	162.96	163.03	162.78	162.86	75198	33143	42055	10578	8284	-49787.4470167357
2022-01-10T08:49:00.000Z	1641808200000	162.86	163.11	162.8	163.11	32751	16289	16462	7364	6131	-53233.21422581406
2022-01-10T08:50:00.000Z	1641808260000	163.11	163.25	163.06	163.22	29123	19293	9830	4922	5087	-55472.75103324181
2022-01-10T08:51:00.000Z	1641808320000	163.22	163.35	163.13	163.21	26340	10113	16227	3881	3984	-57292.6447847736
2022-01-10T08:52:00.000Z	1641808380000	163.21	163.13	162.8	162.8	26682	12911	13771	5034	5126	-58943.61846026931
2022-01-10T08:53:00.000Z	1641808440000	162.8	162.84	162.68	162.76	30180	12784	17396	3533	2432	-60951.08177052338
2022-01-10T08:54:00.000Z	1641808500000	162.76	162.81	162.61	162.67	20557	12197	8360	6656	5359	-62550.30932739792
2022-01-10T08:55:00.000Z	1641808560000	162.67	162.73	162.46	162.56	39346	20887	18459	6327	5870	-63545.25308605284
2022-01-10T08:56:00.000Z	1641808620000	162.56	162.63	162.34	162.34	43050	25543	17507	4759	3540	-63365.328282528084
2022-01-10T08:57:00.000Z	1641808680000	162.34	162.35	162.12	162.12	26628	11916	14712	2923	5088	-62911.69283721995
2022-01-10T08:58:00.000Z	1641808740000	162.12	162.2	162.03	162.07	36803	17804	18999	5195	4806	-62575.112321361776
2022-01-10T08:59:00.000Z	1641808800000	162.07	162.27	162.07	162.21	21243	12252	8991	5041	2417	-62160.425232629335
2022-01-10T09:00:00.000Z	1641808860000	162.21	162.3	162.11	162.17	34390	20112	14278	11299	6557	-61129.34791760582
2022-01-10T09:01:00.000Z	1641808920000	162.17	162.18	162.03	162.08	31749	16545	15204	5413	4214	-59711.43617501082
2022-01-10T09:02:00.000Z	1641808980000	162.08	162.15	161.88	161.88	41282	22364	18918	6199	6458	-57979.99323409976
2022-01-10T09:03:00.000Z	1641809040000	161.88	162.05	161.78	161.86	38385	22152	16233	4672	5419	-55775.78234305132
2022-01-10T09:04:00.000Z	1641809100000	161.86	161.97	161.76	161.76	25454	11413	14041	2633	4261	-53748.09464431472
2022-01-10T09:05:00.000Z	1641809160000	161.76	161.91	161.76	161.88	27993	13575	14418	6183	3112	-52145.62289080295
2022-01-10T09:06:00.000Z	1641809220000	161.88	162.16	161.78	162.11	40322	28455	11867	6369	3986	-49457.23691065696
2022-01-10T09:07:00.000Z	1641809280000	162.11	162.15	161.94	162.11	53535	27640	25895	8957	5323	-46119.224139022364
2022-01-10T09:08:00.000Z	1641809340000	162.11	162.25	162.09	162.22	54071	20008	34063	5525	3521	-44057.42581071527
2022-01-10T09:09:00.000Z	1641809400000	162.22	162.26	162.07	162.13	15185	7131	8054	4491	2949	-43253.34839058522
2022-01-10T09:10:00.000Z	1641809460000	162.13	162.13	161.83	161.89	99053	28128	70925	6087	6956	-46967.951713509116
2022-01-10T09:11:00.000Z	1641809520000	161.89	161.91	161.79	161.79	60763	27999	32764	13481	12951	-53062.081704992306
2022-01-10T09:12:00.000Z	1641809580000	161.79	161.82	161.61	161.66	59977	30279	29698	4543	6099	-59581.036546508854
2022-01-10T09:13:00.000Z	1641809640000	161.66	161.78	161.62	161.75	29312	18678	10634	4666	3514	-64292.63596229512
